MEGYE,OEVK,TELEPÜLÉS,SZAVAZÓKÖR
Budapest,01,Budapest I,001
Budapest,01,Budapest I,002
Budapest,01,Budapest I,003
Budapest,01,Budapest I,004
Budapest,01,Budapest I,005
Budapest,01,Budapest I,006
Budapest,01,Budapest I,007
Budapest,01,Budapest I,008
Budapest,01,Budapest I,009
Budapest,01,Budapest I,010
Budapest,01,Budapest I,011
Budapest,01,Budapest I,012
Budapest,01,Budapest I,013
Budapest,01,Budapest I,014
Budapest,01,Budapest I,015
Budapest,01,Budapest I,016
Budapest,01,Budapest I,017
Budapest,01,Budapest I,018
Budapest,01,Budapest I,019
Budapest,01,Budapest I,020
Budapest,04,Budapest II,001
Budapest,04,Budapest II,002
Budapest,04,Budapest II,003
Budapest,04,Budapest II,004
Budapest,04,Budapest II,005
Budapest,04,Budapest II,006
Budapest,04,Budapest II,007
Budapest,04,Budapest II,008
Budapest,04,Budapest II,009
Budapest,04,Budapest II,010
Budapest,04,Budapest II,011
Budapest,04,Budapest II,012
Budapest,04,Budapest II,013
Budapest,04,Budapest II,014
Budapest,04,Budapest II,015
Budapest,04,Budapest II,016
Budapest,04,Budapest II,017
Budapest,04,Budapest II,018
Budapest,04,Budapest II,019
Budapest,04,Budapest II,020
Budapest,04,Budapest II,021
Budapest,04,Budapest II,022
Budapest,04,Budapest II,023
Budapest,04,Budapest II,024
Budapest,04,Budapest II,025
Budapest,04,Budapest II,026
Budapest,04,Budapest II,027
Budapest,04,Budapest II,028
Budapest,04,Budapest II,029
Budapest,04,Budapest II,030
Budapest,04,Budapest II,031
Budapest,04,Budapest II,032
Budapest,04,Budapest II,033
Budapest,04,Budapest II,034
Budapest,04,Budapest II,035
Budapest,04,Budapest II,036
Budapest,04,Budapest II,037
Budapest,04,Budapest II,038
Budapest,04,Budapest II,039
Budapest,04,Budapest II,040
Budapest,04,Budapest II,041
Budapest,04,Budapest II,042
Budapest,04,Budapest II,043
Budapest,04,Budapest II,044
Budapest,04,Budapest II,045
Budapest,04,Budapest II,046
Budapest,04,Budapest II,047
Budapest,04,Budapest II,048
Budapest,04,Budapest II,049
Budapest,03,Budapest II,050
Budapest,03,Budapest II,051
Budapest,03,Budapest II,052
Budapest,03,Budapest II,053
Budapest,03,Budapest II,054
Budapest,03,Budapest II,055
Budapest,03,Budapest II,056
Budapest,03,Budapest II,057
Budapest,03,Budapest II,058
Budapest,03,Budapest II,059
Budapest,03,Budapest II,060
Budapest,03,Budapest II,061
Budapest,03,Budapest II,062
Budapest,03,Budapest II,063
Budapest,03,Budapest II,064
Budapest,03,Budapest II,065
Budapest,03,Budapest II,066
