MEGYE,TELEPÜLÉS,Szavazókör sorszáma,OEVK
Budapest,Budapest 1,001,01
Budapest,Budapest 1,002,01
Budapest,Budapest 1,003,01
Budapest,Budapest 1,004,01
Budapest,Budapest 1,005,01
Budapest,Budapest 1,006,01
Budapest,Budapest 1,007,01
Budapest,Budapest 1,008,01
Budapest,Budapest 1,009,01
Budapest,Budapest 1,010,01
Budapest,Budapest 1,011,01
Budapest,Budapest 1,012,01
Budapest,Budapest 1,013,01
Budapest,Budapest 1,014,01
Budapest,Budapest 1,015,01
Budapest,Budapest 1,016,01
Budapest,Budapest 1,017,01
Budapest,Budapest 1,018,01
Budapest,Budapest 1,019,01
Budapest,Budapest 1,020,01
Budapest,Budapest 1,021,01
Budapest,Budapest 1,022,01
Budapest,Budapest 1,023,01
Budapest,Budapest 1,024,01
Budapest,Budapest 1,025,01
Budapest,Budapest 1,026,01
Budapest,Budapest 1,027,01
Budapest,Budapest 1,028,01
Budapest,Budapest 2,001,02
Budapest,Budapest 2,002,02
Budapest,Budapest 2,003,02
Budapest,Budapest 2,004,02
Budapest,Budapest 2,005,02
Budapest,Budapest 2,006,02
Budapest,Budapest 2,007,02
Budapest,Budapest 2,008,02
Budapest,Budapest 2,009,02
Budapest,Budapest 2,010,02
Budapest,Budapest 2,011,02
Budapest,Budapest 2,012,02
Budapest,Budapest 2,013,02
Budapest,Budapest 2,014,02
Budapest,Budapest 2,015,02
Budapest,Budapest 2,016,02
Budapest,Budapest 2,017,02
Budapest,Budapest 2,018,02
Budapest,Budapest 2,019,02
Budapest,Budapest 2,020,02
Budapest,Budapest 2,021,02
Budapest,Budapest 2,022,02
Budapest,Budapest 2,023,02
Budapest,Budapest 2,024,02
Budapest,Budapest 2,025,02
Budapest,Budapest 2,026,02
Budapest,Budapest 2,027,02
Budapest,Budapest 2,028,02
Budapest,Budapest 2,029,02
Budapest,Budapest 2,030,02
Budapest,Budapest 2,031,02
Budapest,Budapest 2,032,02
Budapest,Budapest 2,033,02
Budapest,Budapest 2,034,02
Budapest,Budapest 2,035,02
Budapest,Budapest 2,036,02
Budapest,Budapest 2,037,02
Budapest,Budapest 2,038,02
Budapest,Budapest 2,039,02
Budapest,Budapest 2,040,02
Budapest,Budapest 2,041,02
Budapest,Budapest 2,042,02
Budapest,Budapest 2,043,02
Budapest,Budapest 2,044,02
Budapest,Budapest 2,045,02
Budapest,Budapest 2,046,02
Budapest,Budapest 2,047,02
Budapest,Budapest 2,048,02
Budapest,Budapest 2,049,02
Budapest,Budapest 2,050,02
Budapest,Budapest 2,051,02
Budapest,Budapest 2,052,02
Budapest,Budapest 2,053,02
Budapest,Budapest 2,054,02
Budapest,Budapest 2,055,02
Budapest,Budapest 2,056,02
Budapest,Budapest 2,057,01
Budapest,Budapest 2,058,01
Budapest,Budapest 2,059,01
Budapest,Budapest 2,060,01
Budapest,Budapest 2,061,01
Budapest,Budapest 2,062,01
Budapest,Budapest 2,063,01
Budapest,Budapest 2,064,01
Budapest,Budapest 2,065,01
Budapest,Budapest 2,066,01
Budapest,Budapest 2,067,01
Budapest,Budapest 2,068,01
Budapest,Budapest 2,069,01
Budapest,Budapest 2,070,01
Budapest,Budapest 2,071,01
Budapest,Budapest 2,072,01
